Land,Stadt,Start,Laufzeit [Typ],"Laufzeit [min,m]","Laufzeit [max,m]",Schule-1,rank_overall,rank_presence,rank_impact,rank_open,rank_excellence,Studiengang,Schule,Beschreibung,Abschluss,Modus,Sprache,Unterrichtstyp
Spain,A Coruña,Sep,,,,,,,,,,Master's Degree in Development Applications and Relational Data,PC Carrier,"Programmers are undoubtedly the most demanded professionals in the ICT sector. With this Master's we teach from 0 to carry out the automation, creation of applications and sol                                            ...                                                    +                        ",Master,Online & Campus Combined,Spanish,Online & Campus Combined
Switzerland,Lugano,Sep,semesters,,,,,,,,,Master of Science in Software and Data Engineering (MSDE),USI Università della Svizzera italiana,"MSDE is a unique opportunity for students to become highly qualified, software and data engineers able to effectively deal with the increasing complexity of modern software sy                                            ...                                                    +                        ",Master,Full-time,English,Campus
Switzerland,Lugano,Sep,semesters,,,,,,,,,Master of Science in Computational Science,USI Università della Svizzera italiana,The Master of Science degree in Computational Science (MCS) at the Università della Svizzera Italiana (USI) offers students the opportunity to acquire an in-depth understandin                                            ...                                                    +                        ,Master,Full-time,English,Campus
Spain,Barcelona,May,months,,,,,,,,,Master in Big Data and Analytics,OBS Business School,"The Master in Big Data and Analytics was born as a result of the union between the extensive experience in training and research, in the field of technology, which characteriz                                            ...                                                    +                        ",Master,Full-time,Spanish,Online
Hungary,Budapest,Feb,years,24,,,,,,,,MSc in Computer Science - Data Science,Eötvös Loránd University,The goal of this program is to train Computer Scientist with a professional knowledge-based on solid theoretical background knowledge. They have the skills to take part in pro                                            ...                                                    +                        ,Master,Full-time,English,Campus
Germany,Saarbrücken,,semesters,,,,,,,,,Master in Data Science and Artificial Intelligence,Saarland University,"Do you want to help shape the digital future, maybe even make an important contribution to society? Then the Master’s program in Data Science and Artificial Intelligence (DSAI                                            ...                                                    +                        ",Master,Full-time,English,Campus
Czech Republic,Prague,Sep,years,24,,,,,,,,Master in Economic Data Analysis,University of Economics Prague - Faculty of Informatics and Statistics,The aim of this master program is to provide students with knowledge and abilities in the area of economic data analysis. This are covers many topics related to data acquisiti                                            ...                                                    +                        ,Master,Full-time,English,Campus
Germany,Offenburg,,semesters,,,,,,,,,Master in Renewable Energy and Data Engineering (RED),Offenburg University,"Get ready for shaping the future energy sector! The energy sector is facing huge challenges: Growing energy demand, more distributed and renewable energy sources, less central                                            ...                                                    +                        ",Master,Full-time,Multiple,Campus
Germany,Frankfurt,Aug,semesters,,,,,,,,,Master in Applied Data Science (MSc),Frankfurt School of Finance & Management,The MSc in Applied Data Science is a response to the demand from across different industries for business-savvy data scientists with the collaborative skills to match. This 4-                                            ...                                                    +                        ,Master,Full-time,English,Campus
USA,Oklahoma City,Sep,years,48,,,,,,,,Bachelor of Data Science,McGovern Education Group,"A Bachelor of Data Science is a four-year degree in data science, an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowle                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Oklahoma City,Sep,,,,,,,,,,Master of Data Science,McGovern Education Group,"The Master of Data Science is a master’s degree in data science, an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowled                                            ...                                                    +                        ",Master,Full-time,English,Campus
Spain,Barcelona,,hours,5,,,,,,,,Master in Business Intelligence and Data Science,Innovation & Entrepreneurship Business School,In this Master in Business Intelligence and Data Science you will learn in a practical way to use all the tools that Big Data and Business Intelligence provide us to make stra                                            ...                                                    +                        ,Master,Part-time,Spanish,Online
USA,Chicago,Aug,years,24,,,,,,,,Master of Science in Civic Analytics,University of Illinois at Chicago College of Urban Planning and Public Affairs,The Master of Science in Civic Analytics is a first of its kind degree that combines study in civic technology and data analytics for those in the government and nonprofit sec                                            ...                                                    +                        ,Master,Full-time,English,Campus
Switzerland,Wädenswil,Sep,semesters,,42,,,,,,,Master of Science (MSc) in Applied Computational Life Sciences,ZHAW School of Life Sciences And Facility Management,"There is a growing need for experts who have specific knowledge in a scientific discipline combined with skills in data science, modeling, and computation. Programming, Algori                                            ...                                                    +                        ",Master,Full-time,English,Campus
